Unnamed: 0,product_name,link, product_images,price,details,category,subcategory,id,Product_Name,Link,Product_Image,Price,Details
219,,,,,,Woman,ACCESSORIES_JEWELLERY,505,METAL FLOWER EARRINGS,https://www.zara.com/in/en/metal-flower-earrings-p01856219.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/219/303/2/w/448/1856219303_1_1_1.jpg?ts=1688722785869': 'Image 0 of METAL FLOWER EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/219/303/2/w/448/1856219303_2_1_1.jpg?ts=1688722785075': 'Image 1 of METAL FLOWER EARRINGS from Zara'}]","₹ 1,890.00",Textured and floral-shaped metal dangle earrings. Push-back and clip closure.
223,,,,,,Woman,ACCESSORIES_JEWELLERY,506,LINEN BLEND SCARF,https://www.zara.com/in/en/linen-blend-scarf-p00653267.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/267/712/2/w/448/0653267712_1_1_1.jpg?ts=1688722784725': 'Image 0 of LINEN BLEND SCARF from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/267/712/2/w/448/0653267712_6_1_1.jpg?ts=1688644851555': 'Image 1 of LINEN BLEND SCARF from Zara'}]","₹ 2,290.00",Scarf made of a linen blend with frayed edges.Measurements: 195 x 105 cm / 76.7 x 41.3″
224,,,,,,Woman,ACCESSORIES_JEWELLERY,507,METAL FLOWER EARRINGS,https://www.zara.com/in/en/metal-flower-earrings-p01856239.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/239/303/2/w/448/1856239303_1_1_1.jpg?ts=1688722784965': 'Image 0 of METAL FLOWER EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/239/303/2/w/448/1856239303_2_1_1.jpg?ts=1688722785966': 'Image 1 of METAL FLOWER EARRINGS from Zara'}]","₹ 1,590.00",Textured and floral-shaped metal earrings. Push-back and clip closure.
228,,,,,,Woman,ACCESSORIES_JEWELLERY,508,PRINTED SATIN SCARF,https://www.zara.com/in/en/printed-satin-scarf-p04758012.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4758/012/615/2/w/448/4758012615_1_1_1.jpg?ts=1688722785806': 'Image 0 of PRINTED SATIN SCARF from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4758/012/615/2/w/448/4758012615_6_1_1.jpg?ts=1688644853563': 'Image 1 of PRINTED SATIN SCARF from Zara'}]",₹ 990.00,Printed satin scarf.Measurements: 70 x 70 cm / 27.5 x 27.5″
246,,,,,,Woman,ACCESSORIES_JEWELLERY,509,SEASHELL CORD NECKLACE,https://www.zara.com/in/en/seashell-cord-necklace-p01856287.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/287/303/2/w/448/1856287303_1_1_1.jpg?ts=1689783795721': 'Image 0 of SEASHELL CORD NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/287/303/2/w/448/1856287303_6_1_1.jpg?ts=1689601551017': 'Image 1 of SEASHELL CORD NECKLACE from Zara'}]","₹ 1,590.00",Braided cord necklace with a metal seashell-shaped pendant. Lobster clasp fastening.
248,,,,,,Woman,ACCESSORIES_JEWELLERY,510,SEQUINNED BUTTERFLY EARRINGS,https://www.zara.com/in/en/sequinned-butterfly-earrings-p01856248.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/248/303/12/w/448/1856248303_1_1_1.jpg?ts=1688564866751': 'Image 0 of SEQUINNED BUTTERFLY EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/248/303/12/w/448/1856248303_2_1_1.jpg?ts=1688564866490': 'Image 1 of SEQUINNED BUTTERFLY EARRINGS from Zara'}]","₹ 1,890.00",Metal butterfly-shaped earrings with sequin appliqués. Push-back and clip closure.
251,,,,,,Woman,ACCESSORIES_JEWELLERY,511,UNDERWIRED BIKINI TOP,https://www.zara.com/in/en/underwired-bikini-top-p02910201.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2910/201/717/2/w/448/2910201717_1_1_1.jpg?ts=1685615820208': 'Image 0 of UNDERWIRED BIKINI TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2910/201/717/2/w/448/2910201717_2_1_1.jpg?ts=1685615819921': 'Image 1 of UNDERWIRED BIKINI TOP from Zara'}]","₹ 1,990.00",Bikini top with underwire and removable cups. Double thin straps. Fastening at the back.
79,,,,,,Woman,SHIRTS,619,EMBROIDERED COTTON BLOUSE,https://www.zara.com/in/en/embroidered-cotton-blouse-p05107046.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/5107/046/251/2/w/448/5107046251_1_1_1.jpg?ts=1678811442044': 'Image 0 of EMBROIDERED COTTON BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/5107/046/251/2/w/448/5107046251_2_1_1.jpg?ts=1678811400553': 'Image 1 of EMBROIDERED COTTON BLOUSE from Zara'}]","₹ 2,990.00",Long sleeve V-neck blouse made of cotton. Contrast embroidery detail. Button-up fastening at the front.
80,,,,,,Woman,SHIRTS,620,SHIRT WITH CONTRAST RUFFLES,https://www.zara.com/in/en/shirt-with-contrast-ruffles-p03897163.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3897/163/712/2/w/448/3897163712_1_1_1.jpg?ts=1692688583205': 'Image 0 of SHIRT WITH CONTRAST RUFFLES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3897/163/712/2/w/448/3897163712_2_1_1.jpg?ts=1692688582840': 'Image 1 of SHIRT WITH CONTRAST RUFFLES from Zara'}]","₹ 2,990.00",Semi-sheer shirt with a slot collar. Long cuffed sleeves. Lining on the front. Ruffle trims with a contrast finish.
82,,,,,,Woman,SHIRTS,621,100% LINEN SHIRT,https://www.zara.com/in/en/100-linen-shirt-p07558387.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7558/387/613/2/w/448/7558387613_1_1_1.jpg?ts=1683633497090': 'Image 0 of 100% LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7558/387/613/2/w/448/7558387613_2_1_1.jpg?ts=1683633496935': 'Image 1 of 100% LINEN SHIRT from Zara'}]","₹ 2,990.00","Collared shirt with long sleeves, front patch pockets and a button-up front."
