Unnamed: 0,product_name,link, product_images,price,details,category,subcategory,id,Product_Name,Link,Product_Image,Price,Details
74,,,,,,Woman,SHIRTS,617,SEMI-SHEER COMBINED TEXTURED SHIRT,https://www.zara.com/in/en/semi-sheer-combined-textured-shirt-p01971164.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1971/164/800/2/w/448/1971164800_2_1_1.jpg?ts=1692203337744': 'Image 0 of SEMI-SHEER COMBINED TEXTURED SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1971/164/800/2/w/448/1971164800_2_4_1.jpg?ts=1692203338410': 'Image 1 of SEMI-SHEER COMBINED TEXTURED SHIRT from Zara'}]","₹ 3,290.00",Collared shirt with long sleeves. Front patch pocket. Textured frayed fabric detail. Button-up front hidden by a placket.
78,,,,,,Woman,SHIRTS,618,SHIRT WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/shirt-with-cutwork-embroidery-p08741228.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8741/228/250/2/w/448/8741228250_1_1_1.jpg?ts=1691153432751': 'Image 0 of SHIRT WITH CUTWORK EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8741/228/250/2/w/448/8741228250_2_1_1.jpg?ts=1691153432401': 'Image 1 of SHIRT WITH CUTWORK EMBROIDERY from Zara'}]","₹ 2,990.00",Round neck shirt featuring long sleeves with elasticated trims. Matching embroidery and ruffled trims. Matching front button fastening.
79,,,,,,Woman,SHIRTS,619,EMBROIDERED COTTON BLOUSE,https://www.zara.com/in/en/embroidered-cotton-blouse-p05107046.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/5107/046/251/2/w/448/5107046251_1_1_1.jpg?ts=1678811442044': 'Image 0 of EMBROIDERED COTTON BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/5107/046/251/2/w/448/5107046251_2_1_1.jpg?ts=1678811400553': 'Image 1 of EMBROIDERED COTTON BLOUSE from Zara'}]","₹ 2,990.00",Long sleeve V-neck blouse made of cotton. Contrast embroidery detail. Button-up fastening at the front.
75,,,,,,Woman,TOPS_BODYSUITS,933,Z1975 DENIM CROPPED WAISTCOAT,https://www.zara.com/in/en/z1975-denim-cropped-waistcoat-p06147190.html,[],"₹ 2,290.00",V-neck waistcoat with front metal button fastening.
80,,,,,,Woman,SHIRTS,620,SHIRT WITH CONTRAST RUFFLES,https://www.zara.com/in/en/shirt-with-contrast-ruffles-p03897163.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3897/163/712/2/w/448/3897163712_1_1_1.jpg?ts=1692688583205': 'Image 0 of SHIRT WITH CONTRAST RUFFLES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3897/163/712/2/w/448/3897163712_2_1_1.jpg?ts=1692688582840': 'Image 1 of SHIRT WITH CONTRAST RUFFLES from Zara'}]","₹ 2,990.00",Semi-sheer shirt with a slot collar. Long cuffed sleeves. Lining on the front. Ruffle trims with a contrast finish.
82,,,,,,Woman,SHIRTS,621,100% LINEN SHIRT,https://www.zara.com/in/en/100-linen-shirt-p07558387.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7558/387/613/2/w/448/7558387613_1_1_1.jpg?ts=1683633497090': 'Image 0 of 100% LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7558/387/613/2/w/448/7558387613_2_1_1.jpg?ts=1683633496935': 'Image 1 of 100% LINEN SHIRT from Zara'}]","₹ 2,990.00","Collared shirt with long sleeves, front patch pockets and a button-up front."
83,,,,,,Woman,SHIRTS,622,SHIRT WITH DRAWSTRING NECKLINE,https://www.zara.com/in/en/shirt-with-drawstring-neckline-p07797670.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7797/670/406/2/w/448/7797670406_1_1_1.jpg?ts=1691075841787': 'Image 0 of SHIRT WITH DRAWSTRING NECKLINE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7797/670/406/2/w/448/7797670406_2_1_1.jpg?ts=1691075771786': 'Image 1 of SHIRT WITH DRAWSTRING NECKLINE from Zara'}]","₹ 2,990.00",Shirt featuring long sleeves and a Johnny collar with a drawstring.
84,,,,,,Woman,SHIRTS,623,SATIN TOP WITH KNOT,https://www.zara.com/in/en/satin-top-with-knot-p02298178.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2298/178/611/2/w/448/2298178611_1_1_1.jpg?ts=1691417175817': 'Image 0 of SATIN TOP WITH KNOT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2298/178/611/2/w/448/2298178611_2_1_1.jpg?ts=1691417175938': 'Image 1 of SATIN TOP WITH KNOT from Zara'}]","₹ 2,990.00",Crop top featuring a V-neckline with a knot and long sleeves. Invisible side zip fastening.
86,,,,,,Woman,SHIRTS,624,SMOCKED PRINTED BLOUSE,https://www.zara.com/in/en/smocked-printed-blouse-p08348814.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8348/814/330/2/w/448/8348814330_1_1_1.jpg?ts=1691075773434': 'Image 0 of SMOCKED PRINTED BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8348/814/330/2/w/448/8348814330_2_1_1.jpg?ts=1691075773391': 'Image 1 of SMOCKED PRINTED BLOUSE from Zara'}]","₹ 2,990.00","Round neck blouse with smocking, long sleeves with elasticated trims and a button-up front."
87,,,,,,Woman,SHIRTS,625,TIE-DYE PRINT SHIRT,https://www.zara.com/in/en/tie-dye-print-shirt-p07888425.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7888/425/330/2/w/448/7888425330_1_1_1.jpg?ts=1689149351146': 'Image 0 of TIE-DYE PRINT SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7888/425/330/2/w/448/7888425330_2_1_1.jpg?ts=1689005387383': 'Image 1 of TIE-DYE PRINT SHIRT from Zara'}]","₹ 3,290.00",Collared shirt with long sleeves. Side vents at the hem. Button-up front.
